USER_ID,STAYED
60,Kanto,Hokkaido
71,Kanto
95,Kanto
170,Kanto
219,Kanto
238,Kanto
266,Kanto
331,Kanto,Kinki
367,Kinki
376,Kanto
419,Hokkaido
422,Kanto
527,Kyushu
539,Kanto,Kyushu
565,Chubu,Kanto,Kinki,Kyushu,Tohoku,Chugoku,Hokkaido
626,Kanto,Kinki
653,Kanto
779,Kyushu
793,Kanto
1107,Kinki
1109,Kinki
1224,Kinki
1247,Kanto,Chugoku
1478,Kanto
1523,Kanto,Kinki
1546,Chubu,Kanto,Tohoku
1659,Chubu,Kanto,Kinki,Kyushu
1887,Kanto
2019,Kanto
2070,Kanto
2189,Chubu,Kanto,Kinki
2283,Kanto
2288,Kyushu
2426,Kanto
2440,Kanto
2550,Kanto
2584,Chubu,Kanto,Kinki
2650,Kanto
2729,Kanto
2769,Chubu,Kanto,Tohoku
2877,Kanto
2932,Kanto
2942,Kanto
3042,Kanto
3203,Kanto
3242,Kinki
3250,Kanto
3372,Kanto
3378,Kanto,Kinki,Hokkaido
3520,Kanto
3524,Chubu,Kanto,Kinki,Tohoku,Hokkaido
3525,Kanto
3559,Kanto
3579,Kanto,Kinki
3594,Kanto
3659,Kanto
3670,Chubu,Kinki,Kyushu,Chugoku
3680,Kanto,Kinki,Chugoku
3703,Kanto
3830,Kanto
4033,Kanto
4037,Kanto
4140,Kanto,Kinki
4243,Kanto
4414,Kanto
4599,Kanto
4678,Hokkaido
4757,Kanto
4862,Kanto
4988,Kanto
5033,Kanto
5041,Kanto,Kinki
5042,Kanto,Tohoku,Hokkaido
5163,Kanto
5231,Kinki
5249,Kanto
5294,Kanto
5408,Kanto
5499,Chubu,Kanto
5545,Kanto
5564,Kanto
5575,Kanto
5694,Kinki
5710,Kanto
5839,Chubu
5848,Kanto
6002,Kanto
6112,Kanto,Kinki,Kyushu
6277,Kinki
6351,Kinki
6369,Kanto
6384,Kinki
6672,Kanto
6798,Hokkaido
6833,Kanto
6848,Kanto,Kinki
7207,Kanto
7357,Kanto,Kinki
7599,Kanto,Kinki
7705,Kanto
7782,Kanto
7877,Kanto,Kinki,Kyushu,Chugoku
7886,Kanto
7888,Kanto
8106,Kinki
8139,Kyushu
8165,Kanto
8234,Kinki
8330,Kanto
8434,Chubu,Kinki
8435,Kanto
8468,Kinki
8478,Kyushu,Hokkaido
8544,Kinki
8568,Kinki,Kyushu
8784,Kinki
8853,Kanto
8859,Kanto
9222,Kyushu
9425,Kanto
9605,Kanto
9606,Kanto
9613,Kanto,Kinki
9618,Kyushu
9661,Kanto
9886,Kanto
9887,Kanto
10046,Kanto,Tohoku
10256,Kanto
10267,Kanto,Kinki,Hokkaido
10333,Kinki
10386,Kanto
10475,Kanto,Kinki
10553,Kanto
10667,Kanto
10781,Kanto,Tohoku
10868,Kinki
10915,Kanto
10995,Kanto
11002,Kanto
11069,Kanto
11130,Kanto,Tohoku
11226,Kanto
11289,Kinki
11358,Kanto
11546,Kanto
11593,Kanto
11870,Kanto
12103,Kanto
12309,Chubu,Kanto,Kinki
12319,Kanto
12426,Kanto
12438,Kyushu
12515,Kanto,Kinki
12600,Kanto
12646,Kanto
12913,Kinki,Kyushu,Hokkaido
13046,Kinki
13432,Kinki
13681,Kanto
13795,Chubu,Kanto,Kinki
13827,Kinki
13890,Kanto
14142,Kanto,Kinki,Kyushu
14155,Kanto
14307,Kinki
14314,Kanto
14449,Chubu,Kinki,Kyushu
14664,Hokkaido
14885,Kanto
14930,Chubu,Kanto,Kinki,Kyushu,Hokkaido
15059,Hokkaido
15068,Kanto
15161,Kanto
15186,Kanto
15293,Kanto
15356,Kanto
15413,Chubu,Kanto,Kinki,Hokkaido
15497,Kanto
15722,Kinki
15880,Kanto,Kinki
16207,Kyushu
16257,Kanto
16262,Kanto
16376,Hokkaido
16382,Kanto
16546,Kanto
16673,Kanto,Kinki
16780,Kinki
16866,Kinki
17079,Kanto
17146,Kyushu
17148,Kanto
17168,Kanto
17257,Kanto,Kinki
17348,Kanto,Kinki,Kyushu,Chugoku
17398,Kanto,Kinki
17594,Kinki
18301,Kinki
18335,Kanto,Kinki
18617,Kanto
18695,Hokkaido
18704,Kanto
18742,Kinki
18810,Kanto
18968,Kanto
19143,Kanto
19149,Kanto
19276,Chubu,Kanto,Kinki,Kyushu
19284,Chubu,Kanto,Kyushu
19565,Chubu
19738,Kanto
19784,Kanto,Kinki
19821,Kanto
19931,Kanto
19975,Kanto,Hokkaido
19981,Kinki,Kyushu
20031,Kanto
20149,Kanto,Kinki
20181,Kanto,Kinki
20258,Kanto
20416,Chubu,Kanto
20501,Kanto
20516,Hokkaido
